,Year,Inventory,Accounts Receivable,Total Noncurrent Assets,Revenue,COGS,Ticker,Average Inventory,Average Receivables,Avg Fixed Assets
0,1/31/2024,54892000000,8796000000,1.75522E+11,6.48125E+11,4.90142E+11,WMT,55734000000,8364500000,1.71532E+11
1,1/31/2023,56576000000,7933000000,1.67542E+11,6.11289E+11,4.63721E+11,WMT,56543500000,8106500000,1.65666E+11
2,1/31/2022,56511000000,8280000000,1.6379E+11,5.72754E+11,4.29E+11,WMT,50730000000,7398000000,1.6311E+11
3,1/31/2021,44949000000,6516000000,1.62429E+11,5.59151E+11,4.20315E+11,WMT,,,
5,12/31/2023,33318000000,52253000000,3.55503E+11,5.74785E+11,4.8098E+11,AMZN,33861500000,47306500000,3.35694E+11
6,12/31/2022,34405000000,42360000000,3.15884E+11,5.13983E+11,4.46343E+11,AMZN,33522500000,37625500000,2.87427E+11
7,12/31/2021,32640000000,32891000000,2.58969E+11,4.69822E+11,4.03507E+11,AMZN,28217500000,28716500000,2.23716E+11
8,12/31/2020,23795000000,24542000000,1.88462E+11,3.86064E+11,3.34564E+11,AMZN,,,
10,8/31/2024,18647000000,2721000000,35585000000,2.54453E+11,2.22358E+11,COST,17649000000,2503000000,34350000000
11,8/31/2023,16651000000,2285000000,33115000000,2.4229E+11,2.12586E+11,COST,17279000000,2263000000,32292500000
12,8/31/2022,17907000000,2241000000,31470000000,2.26954E+11,1.99382E+11,COST,16061000000,2022000000,30616500000
13,8/31/2021,14215000000,1803000000,29763000000,1.95929E+11,1.70684E+11,COST,,,
14,1/31/2024,20976000000,2753000000,46755000000,1.52669E+11,1.01709E+11,HD,22931000000,2787500000,45364500000
15,1/31/2023,24886000000,2822000000,43974000000,1.57403E+11,1.04625E+11,HD,23477000000,2861500000,43397500000
16,1/31/2022,22068000000,2901000000,42821000000,1.51157E+11,1.00325E+11,HD,19347500000,2725500000,42462500000
17,1/31/2021,16627000000,2550000000,42104000000,1.3211E+11,87257000000,HD,,,
19,1/31/2024,11886000000,891000000,37858000000,1.07412E+11,77736000000,TGT,12692500000,1030000000,36673500000
20,1/31/2023,13499000000,1169000000,35489000000,1.0912E+11,82229000000,TGT,13700500000,1002000000,33863500000
21,1/31/2022,13902000000,835000000,32238000000,1.06005E+11,74963000000,TGT,12277500000,733000000,31365000000
22,1/31/2021,10653000000,631000000,30492000000,93561000000,66177000000,TGT,,,
,,,,,,,,,,
